TIC_ID,Teff,Tmag,r_est,Obs,a_RV,a_EA,a_EM,Per_RV,Per_EA,Per_EM,Elat,Glat,Gaia_ID,RA,Dec,asep_RV,asep_EA,asep_EM,Ttime,TWOMASS,HZ_flag,JWST_flag,Earth_flag,S1_flag,S2_flag,S3_flag,S4_flag,S5_flag,S6_flag,
317177580,2990,10.9,9.929312058,34.29,0.043,0.053,0.129,8.23,11.09,42.57,47.7309,13.1436,4535928365908541440,280.2909,24.7888,4.33,5.34,12.99,0.018,18410981+2447195,0,0,1,0,0,0,0,0,0,
274626553,3142,10.51,9.910502201,94.5,0.05,0.062,0.147,10.0,13.52,49.72,73.2747,37.4825,1412645602995521920,255.8495,51.4063,5.05,6.26,14.83,0.024,17032384+5124219,0,0,1,0,0,0,0,0,0,
52183206,3055,10.44,9.83613542,35.613,0.056,0.069,0.166,10.48,14.13,53.26,49.6836,-0.4744,522864272037653504,15.8326,62.3655,5.69,7.01,16.88,0.035,01031971+6221557,0,0,1,0,0,0,0,0,0,
471016687,3002,11.27,9.770274236,24.867,0.039,0.048,0.117,7.62,10.27,39.28,-23.0191,-80.4774,2358022227591374336,16.2242,-18.1246,3.99,4.91,11.98,0.011,01045368-1807292,0,0,1,1,0,0,0,0,0,
268633473,2926,11.35,9.770274236,24.867,0.037,0.045,0.113,7.06,9.51,37.2,-23.0191,-80.4777,2358022227591374336,16.2237,-18.1248,3.79,4.61,11.57,0.011,01045368-1807292,0,0,0,1,1,0,0,0,0,
352617553,3058,10.82,9.583408511,78.975,0.044,0.054,0.13,8.6,11.59,43.65,71.7262,11.7035,2188318517720321664,306.522,58.5729,4.59,5.63,13.57,0.017,20260528+5834224,0,0,1,0,0,0,0,0,0,
340807280,2899,10.62,9.531247324,27.0,0.043,0.052,0.13,7.86,10.57,41.72,32.5617,-15.7386,1810616448010879488,310.1411,15.4997,4.51,5.46,13.64,0.019,20403364+1529572,0,0,1,0,0,0,0,0,0,
467119250,2972,11.26,9.531140492,25.515,0.035,0.043,0.106,6.81,9.17,35.41,26.4273,13.1213,970354749937140736,90.6216,49.8656,3.67,4.51,11.12,0.01,06022918+4951561,0,0,0,0,0,0,0,0,0,
452465896,3108,10.11,9.509506989,80.838,0.057,0.07,0.167,10.86,14.67,54.46,-72.098,-19.5295,5203276810942065536,139.2722,-77.8232,5.99,7.36,17.56,0.034,09170532-7749233,0,0,1,0,0,0,0,0,0,
362144730,2827,11.85,9.470383848,23.112,0.026,0.031,0.079,4.83,6.49,26.21,9.0538,3.2972,4147112604476417792,271.4361,-14.3785,2.75,3.27,8.34,0.005,18054470-1422425,0,0,0,0,0,0,0,0,0,
252933112,2907,10.51,9.114256729,26.568,0.045,0.055,0.137,8.21,11.04,43.47,29.8763,23.0859,981548637301374336,105.9822,52.7018,4.94,6.03,15.03,0.02,07035565+5242075,0,0,1,0,0,0,0,0,0,
142086812,3412,8.16,8.837861444,339.147,0.123,0.151,0.343,22.67,30.85,105.89,-80.551,-27.3081,5260759175761501696,98.4302,-75.6299,13.92,17.09,38.81,0.217,06334337-7537482,1,0,1,1,1,1,1,1,1,
142086813,3370,8.94,8.835910828,339.147,0.092,0.113,0.258,17.52,23.82,82.58,-80.5543,-27.3042,5260759175761502976,98.4449,-75.6249,10.41,12.79,29.2,0.101,06334690-7537301,1,0,1,0,0,0,0,0,0,
160329609,3011,9.65,8.66336148,44.037,0.038,0.046,0.112,7.28,9.81,37.42,-57.9913,-23.9896,2886233695250041216,91.2173,-34.56,4.39,5.31,12.93,0.011,06045215-3433360,0,0,1,1,1,1,1,1,1,
393018418,2921,11.49,8.636607308,25.785,0.029,0.036,0.088,5.47,7.36,28.87,27.5303,48.5539,1165479168642900992,232.6264,9.4337,3.36,4.17,10.19,0.005,15303032+0926014,0,0,0,0,0,0,0,0,0,
467254810,3436,8.22,8.07862251,132.624,0.112,0.137,0.311,21.07,28.7,97.93,74.8893,15.0586,2246206567973292160,307.6335,65.4496,13.86,16.96,38.5,0.163,20303207+6526586,0,0,1,0,0,0,0,0,0,
11893637,2946,10.42,8.036251354,31.266,0.046,0.056,0.139,8.54,11.49,44.71,42.4879,65.7206,786834302079285632,177.7405,48.3774,5.72,6.97,17.3,0.02,11505787+4822395,0,0,1,0,0,0,0,0,0,
123480394,3059,10.46,7.993210014,51.597,0.043,0.052,0.126,8.23,11.1,41.78,-62.7462,-9.9757,5535361753834861312,115.0492,-42.9612,5.38,6.51,15.76,0.017,07401183-4257406,0,0,1,0,0,0,0,0,1,
162673762,3417,8.14,7.842899176,64.314,0.111,0.136,0.31,20.8,28.31,97.04,67.9947,44.0422,1411178510887026048,246.0389,48.3529,14.15,17.34,39.53,0.198,16240913+4821112,0,0,1,0,0,0,0,0,0,
233068870,3120,10.25,7.781126632,302.643,0.05,0.061,0.147,9.88,13.35,49.4,87.6894,29.5388,2161121135533953536,270.5693,64.2623,6.43,7.84,18.89,0.024,18021660+6415445,1,1,1,0,0,0,0,0,0,
406857100,3112,10.39,7.645191286,293.058,0.039,0.048,0.114,7.84,10.59,39.26,88.0663,27.9002,2257597439718033536,274.7385,66.1926,5.1,6.28,14.91,0.01,18185725+6611332,1,1,1,0,0,0,0,0,0,
92923185,2860,10.89,7.620331633,26.811,0.033,0.041,0.102,6.17,8.29,33.13,30.5467,4.1929,4286249341336984576,282.0731,7.6892,4.33,5.38,13.39,0.011,18481752+0741210,0,0,1,0,0,0,0,0,0,
219085795,3293,9.02,7.428176178,59.13,0.079,0.096,0.224,15.04,20.39,72.08,66.1175,36.2843,1355264565043431040,257.3814,43.6814,10.64,12.92,30.16,0.066,17093153+4340531,0,0,1,0,0,0,0,0,0,
407688400,3234,9.49,7.038231283,34.29,0.053,0.064,0.151,10.78,14.59,52.38,47.7039,-11.6115,1952802469918554368,326.5919,38.218,7.53,9.09,21.45,0.023,21462206+3813047,0,0,1,0,0,0,0,0,0,
334415465,3049,10.25,6.872841272,23.301,0.039,0.048,0.116,7.75,10.45,39.46,-10.9414,21.855,3098328216938651264,122.9898,8.773,5.67,6.98,16.88,0.011,08115757+0846220,0,0,1,0,0,0,0,0,0,
144370079,3054,10.02,6.672393405,26.892,0.042,0.051,0.124,8.25,11.13,41.93,-31.1379,24.4236,6153483658836320384,189.7046,-38.3816,6.29,7.64,18.58,0.017,12384914-3822527,0,0,1,0,0,0,0,0,0,
370955883,3193,9.66,6.501502552,69.417,0.054,0.065,0.155,10.76,14.55,52.8,-69.4958,-11.9697,5243594081269535872,145.6931,-68.885,8.31,10.0,23.84,0.024,09424635-6853060,0,0,1,0,0,0,0,0,0,
207492082,3499,8.02,6.472493927,94.5,0.093,0.114,0.256,18.79,25.65,86.23,73.2791,42.7853,1428427236986209024,246.3526,54.3041,14.37,17.61,39.55,0.094,16252459+5418148,0,0,1,0,0,0,0,0,0,
389356212,2871,10.55,6.470961245,23.436,0.036,0.044,0.111,6.69,8.99,35.79,12.0842,72.2722,3907283967108054528,184.7475,11.1261,5.56,6.8,17.15,0.012,12185939+1107338,0,0,1,0,0,0,0,0,0,
471012347,3159,9.47,5.374838602,26.487,0.029,0.036,0.085,4.6,6.22,22.79,-29.5525,-27.4713,3187115498866675456,75.4893,-6.9463,5.4,6.7,15.81,0.003,05015746-0656459,0,0,1,1,1,1,0,1,1,
43605290,3159,9.45,5.374838602,26.487,0.029,0.036,0.085,4.6,6.22,22.79,-29.5523,-27.471,3187115498866675456,75.4895,-6.9461,5.4,6.7,15.81,0.003,05015746-0656459,0,0,1,0,0,0,0,0,0,
358615829,3308,8.32,5.255097413,53.379,0.072,0.089,0.205,14.22,19.3,67.95,63.5703,37.948,1129149723913123456,176.9224,78.6912,13.7,16.94,39.01,0.055,11474143+7841283,0,0,1,0,0,0,0,0,0,
252803606,2770,10.92,4.899850044,27.54,0.024,0.029,0.075,4.24,5.69,23.41,34.3244,63.0801,778947608243864320,166.3788,43.5217,4.9,5.92,15.31,0.004,11053133+4331170,0,0,1,0,0,0,0,0,0,
274127413,3139,9.67,4.660757441,52.326,0.034,0.041,0.098,6.73,9.1,33.49,63.106,8.5081,2079073928612821760,298.4798,44.4151,7.29,8.8,21.03,0.008,19535508+4424550,0,0,1,0,0,0,0,0,0,
233193964,3413,6.85,4.549389409,311.958,0.12,0.147,0.334,23.59,32.11,110.17,87.1265,31.9641,1637645127018395776,264.1079,68.3391,26.38,32.31,73.42,0.216,17362594+6820220,1,1,1,0,0,0,0,0,0,
200385493,3672,7.12,3.933054102,62.883,0.099,0.122,0.266,20.89,28.7,92.82,-67.506,-36.0021,4810594479417465600,77.9191,-45.0184,25.17,31.02,67.63,0.1,05114046-4501051,0,0,1,0,0,0,1,0,0,
439403362,3056,9.07,3.712065756,24.813,0.039,0.048,0.115,7.81,10.54,39.71,-22.7422,-78.7597,2358524597030794112,18.1277,-16.999,10.51,12.93,30.98,0.013,01123052-1659570,0,0,1,1,1,0,0,0,0,
79611981,2953,9.46,3.672776031,48.141,0.033,0.041,0.101,6.38,8.59,33.36,-60.7731,-52.9049,4848140361962951552,53.9988,-44.5126,8.99,11.16,27.5,0.01,03355969-4430453,0,0,1,0,0,1,1,0,0,
3664898,2804,10.44,3.58013618,23.004,0.024,0.029,0.075,4.33,5.82,23.68,7.5518,32.4208,703790044252850688,127.4556,26.776,6.7,8.1,20.95,0.004,08294949+2646348,0,0,1,0,0,0,0,0,0,
440109718,3198,8.47,3.561056325,28.809,0.049,0.06,0.143,10.07,13.63,49.37,37.9283,-18.4439,385334196532776576,4.6078,44.0273,13.76,16.85,40.16,0.023,00182549+4401376,0,0,1,0,0,0,0,0,0,
392572237,3318,7.32,3.522474161,337.743,0.075,0.092,0.213,14.72,19.98,70.18,81.5686,24.2295,2154880616772528384,280.6954,59.6268,21.29,26.12,60.47,0.069,18424688+5937374,1,0,1,0,0,0,0,0,0,
359676790,3344,6.72,3.521400786,337.743,0.095,0.117,0.269,17.82,24.21,84.47,81.5719,24.2308,2154880616773521408,280.6945,59.6304,26.98,33.23,76.39,0.113,18424666+5937499,1,0,1,0,0,0,0,0,0,
325554331,3147,6.97,1.826553034,25.866,0.047,0.057,0.137,9.44,12.75,46.84,28.1315,14.0626,4472832130942575872,269.4521,4.6934,25.73,31.21,75.0,0.017,17574849+0441405,0,0,1,0,0,0,0,0,0,
