source_id,l,b,parallax,dist_pc,ruwe,phot_g_mean_mag,distance_gspphot
2106422459279293568,75.63577001534408,16.56831492392986,48.163983967147665,20.76240206130152,10.808723,12.640089,--
2106693763774672128,74.62423460847157,18.15231084911236,21.667709873364945,46.15162404538428,1.1720763,12.941447,--
2107257297843283584,76.28789218515541,18.464562726928776,51.18266860185122,19.53786364245633,1.832759,12.609335,19.5444
2107609725678503168,77.42161965015872,19.12490047534888,27.301148388775225,36.628495833206294,1.2088321,13.018631,36.597
2109049433075667584,66.18029147857312,22.72316023003363,87.98137675447622,11.366041733930052,1.1135117,12.178306,--
2110165780975185792,68.63073568878416,20.106611535135794,91.79954384973269,10.893300315706437,1.1090443,10.168245,--
2110336583235233536,69.02904880722352,20.764589687003678,73.70815012974893,13.567020719414252,1.1523582,10.809602,13.5477
2113056809360314240,68.72614616787948,24.416051815888956,29.097184778760937,34.36758599168451,5.944228,13.122191,34.0982
2116022741975609088,72.82191747621748,27.158729002525153,14.062553087972827,71.11084265738789,21.066383,13.052573,--
2117816217240921088,75.2699577464506,21.517674585026644,27.39393565466884,36.504429761612826,1.0790324,13.063122,--
2118429538570209920,74.42172120378436,21.711148092031618,64.20993840996545,15.573913085155661,1.0755336,11.754142,--
2118615768352305280,75.08161744229426,22.686067383266398,19.120483906684854,52.299931574973506,1.2275214,12.830593,--
2119686379142441472,77.53095162888056,19.905507452134895,50.90628191080458,19.643941031720793,1.0442069,11.400604,19.6579
2119839387352940288,77.43417626538123,21.030582133423508,25.085294871379674,39.8639922363807,1.3622885,12.572354,--
2120321347107272704,76.99169268099827,22.63014873111196,19.113191632141614,52.31988561859833,1.1821445,12.85965,--
2120407078951774464,76.5737064388766,23.255632407293497,27.219103890574463,36.73890235402951,1.2987498,12.80396,36.8901
2121086061741691904,78.88947030088829,23.62219690697797,22.034903949745743,45.38254408917171,5.678678,12.963012,--
2122746255579461248,75.8038608650214,27.18759027924426,22.294035583694114,44.85504637533643,1.4044927,12.857301,--
2122847273210464896,76.55540724565587,28.249382198878845,19.360327651756013,51.652018394910705,1.0455914,12.339753,--
2124441633790336896,79.81473227433047,25.532309896855654,15.865938022254623,63.02810452160681,50.29587,12.040976,88.9414
2124745305157901184,78.974614303912,26.913781689580222,8.834775938250347,113.18906183805738,19.70491,12.471053,102.9467
2124772479414763904,79.19223757061327,27.058475157581878,43.487462484656476,22.995133375575232,0.98200107,11.466016,23.0005
2125370033920918784,80.8179330818267,27.705920570025587,35.33564296625769,28.300036904802006,1.1344049,11.7633,28.207
2125637554547780352,81.39787028214943,28.44420119182118,17.408939951960832,57.441751350711414,14.470852,11.96883,--
2125676110470342400,82.00048022414882,28.557574025054908,12.966155400864809,77.12386355737358,1.0324894,12.015066,--
2129891878573263872,81.84702561172105,14.801926770830232,15.665279642799876,63.835438804925715,1.0482299,13.030251,64.0331
2131422261318410368,77.27068008715382,18.702936276084642,38.81917520504413,25.76046489184708,17.621613,12.151188,--
2131729093781769344,78.22572119792632,19.57243246143977,10.658301408774406,93.82358047941428,14.328849,12.645723,102.9136
2132703192365861376,80.9439329418893,16.57769028038242,24.232550451728684,41.26680771766072,1.1063583,12.535065,--
2136424283311361664,84.1419751366604,14.554430412727,16.10763242122877,62.08237026082539,1.2406646,12.687154,--
2136665454312416128,85.39704372934621,15.365904381868885,65.74454862093053,15.210386579209679,0.9514282,11.150746,15.1868
2139104377262522880,88.74363458815056,15.634467871556026,18.20026176524771,54.94426469785391,4.889288,12.815254,--
2140176156284365312,85.91728789287441,18.19356908981106,18.375885666680418,54.419145729298,10.007589,12.354742,--
2140266835930606848,85.93022487544688,18.137175534540763,13.31644460914779,75.09511955714108,0.9812867,12.076351,75.4339
2140806077664453632,85.6790212272575,19.68373414709438,23.706755237971244,42.182069623695035,1.0563891,11.0270405,--
2141138508133319936,86.76135242561443,19.402476788126336,10.123903614067848,98.77612807479049,1.1842902,12.897635,99.0371
2141202550387897216,85.90144275463406,20.0434524431544,17.92086729656314,55.80087076431729,1.1503814,12.167193,--
2141265600507325824,86.31385333826971,20.3764023154342,17.006580707426668,58.800767608935416,4.661283,11.761998,60.2112
2141888409422918400,87.44649942385944,17.734854100230624,24.18510130648349,41.34776974169309,1.0298266,11.160834,41.4044
2142016743046241152,88.39245361726255,18.471549431776584,11.632521154133087,85.96588708069493,39.006603,13.0760975,117.5969
2142171842904918016,88.83966407578832,16.89134663626785,19.698996684667968,50.76400671605348,1.245006,12.955222,--
2142207473954147840,89.28107425421017,16.860542603536718,10.454660631115356,95.65112013524201,7.466233,12.776398,98.2754
2142682291175872384,87.45764267186043,19.59764505641688,5.459391906406463,183.17058330736882,5.2027926,12.725,--
2142848214354676096,88.71932710850187,19.456166081134004,12.2483843731969,81.64342084073526,1.3218454,12.577087,81.9081
2143124432291245824,89.0868296148711,20.370061265494797,13.445926965487486,74.37196428083861,1.1047137,13.02463,74.5197
2143130651404025728,89.2747624387499,20.587057176765857,4.8124611959320855,207.7938832723031,1.0896136,12.624927,207.395
2143230844400805632,89.09014749458213,19.355887679127946,26.265895674471295,38.07218350341403,0.92192304,11.271468,--
2143350897327030528,90.17928757579989,19.21775414445661,9.71135417297669,102.97225105667044,1.2605023,12.739297,--
2143386180480200064,89.9877821941478,19.742943517436352,42.043763103065764,23.78474061773699,1.3019295,12.218423,--
2144536613241476480,81.29462556317046,20.962509933179348,11.100843228829447,90.08324677560978,1.6003612,12.5205145,90.3493
2144576509194021120,80.14587615746724,21.533891973495955,25.684873331600706,38.93342151583346,1.1916531,12.575538,--
2144904537319174528,79.66307444922752,22.622238304857245,19.38096399674219,51.59702067286712,1.1141992,11.880276,--
2145212404871681792,79.83969468901267,24.264180475042714,15.06106481407627,66.39636787602075,19.751064,11.856408,73.9948
2145788475947885824,81.80623531814317,24.599314570292155,17.301083608071494,57.799847839211004,0.9540716,11.784203,57.9667
2145959415646257280,83.05467386135753,24.505601476325893,8.13846951515432,122.8732255048618,5.0914974,12.56317,--
2146124312328993152,82.15759749074746,20.637995078216825,16.14931973039962,61.92211292452099,1.218375,12.51187,62.1868
2146209387041088512,82.69888550617883,21.372808999238888,37.855464161174005,26.41626571377872,1.2997477,13.30514,26.4087
2146776906839732224,84.43915060998575,21.11429508513643,23.489815216286054,42.571641828271,11.029843,11.130247,--
