source_id,l,b,dist_pc,distance_gspphot,parallax,ra,dec,phot_g_mean_mag
1618351446729597952,102.68735389836672,52.160339884977816,26.214347129275485,26.2551,38.14704959343529,218.5931819251921,60.7321101775444,12.585664
1619867810703874688,100.73895922586685,46.60174954150459,31.213070663453998,31.2853,32.03786038170399,228.90702502447957,63.83079165814238,11.3334
1624385699685942912,90.90509791429257,38.58292564218909,21.422689773572447,--,46.67947912094701,251.47958636188073,60.94985852499221,12.211432
1624506268008150400,91.10806390766581,39.86499517024256,32.39970150434263,--,30.864481880055806,248.85125716780047,60.77423914049222,12.168387
1625055478362341120,92.00216520732536,42.28569310145727,30.894432997011336,--,32.368291080038205,243.72103582313284,60.643174127748686,12.637676
1625109216993315968,91.73508321738383,41.34982042907307,94.3356613774384,94.3885,10.600445106320768,245.65719836921636,60.77864187737285,12.935111
1625528268362025472,92.27623018284673,40.36135560290654,78.65685081693375,78.8931,12.713450762571256,247.32569094492106,61.48274217020213,12.747693
1626614242252905216,92.43908417996158,43.181199951156145,75.8445724260306,76.1316,13.184859087646334,241.78338768306511,60.60407932843745,12.926749
1626660627899671168,92.44474113338698,44.280453575036475,53.484673413307206,--,18.696945053256993,239.7471890285837,60.16149955101275,12.516811
1626972133288099456,92.65047053860428,45.73598697031832,23.110496155548304,--,43.27038213586439,237.01241590086337,59.651784011921386,12.574405
1627153965023541376,93.79446263956872,45.21887048807047,36.252884525523854,--,27.58401195071663,237.18352964107646,60.60234850468434,13.230912
1627829821077234432,95.16617204633464,44.01410228350732,46.26950532056291,--,21.61250683515702,238.44744722801045,62.02954347095834,12.7596855
1628332023013382656,94.05897752315543,40.78396999592631,90.16008238357391,90.4541,11.091382944235065,245.5119426449928,62.618474411746654,12.5651
1628357277420715264,93.58872085278921,42.589844179603205,51.36552243743376,--,19.468311671862367,242.21913637226385,61.61151066404314,12.683272
1628542785648652288,94.53262625064266,40.80331252559302,52.82128734921061,52.674,18.93176123082401,245.18943464809234,62.94588675948291,9.973593
1628674692683859840,93.88546442904605,40.01841276068732,84.07414312450716,--,11.894263358938778,247.177955394323,62.7570997334834,11.972461
1628840650220386560,94.60725210061705,39.27514929691039,49.58762145973313,--,20.166323178296317,248.3332554314608,63.52451090339894,12.284095
1628946031537927040,94.82338654871221,39.82634362187142,61.68562900969374,--,16.21123130385608,247.04341479043183,63.499116015686866,11.311989
1629218912283419136,94.75015868669034,42.11267577573915,84.5108484445198,91.1323,11.832800384869952,242.41296485307888,62.589355367549445,11.994131
1629688678626363008,96.73679151248191,41.652988810186805,83.3441925014861,--,11.998436483527861,241.9512611825236,64.12427963418185,12.263611
1630752868443096704,92.39434568199991,37.16950326423748,39.777584728244896,--,25.139786812896393,253.8242924469804,62.413818580751524,12.750636
1631237512552820992,93.44803849508952,36.31457634340655,55.522243528201905,55.4769,18.010799572464343,255.27101254529805,63.418858745760815,10.103715
1631591147276525696,93.28706761154292,37.295419052767166,15.208800331748552,15.1725,65.75140564588044,253.2075718369321,63.07812356967455,12.757077
1631818402586291968,94.13915457534728,37.879003751134434,30.409536710618625,30.2325,32.88442074985025,251.57161716991402,63.585488205818386,12.993156
1632112552014817024,94.77971023666422,35.511615080837686,27.60251935784419,--,36.228577074281304,256.57224951108793,64.63678748729981,12.090807
