source_id,l,b,parallax,dist_pc,ruwe,phot_g_mean_mag
778947608243864320,168.51745433515103,63.061053342908586,203.83234385738783,4.905992744211656,1.0334092,12.257253
848178083009862656,163.30998707765437,51.18176223135722,76.0136390127306,13.155533835612346,1.3685164,12.163774
970354749937140736,163.23801631376216,13.119914927411054,104.95896402103264,9.527533063299012,1.278541,12.681532
981548637301374336,164.0644947323103,23.08770247854171,110.82634141717595,9.023125614476156,18.897764,11.699139
1073206263054159104,138.59156670833062,43.30961383466442,78.57484210850646,12.726719814709506,15.245745,10.719594
1123140411831352064,141.2948842111514,33.084739230009866,68.21401263922408,14.65974454968487,1.3873489,11.658877
1123681096674583552,140.5823912801326,35.07915801633391,69.45645656879874,14.397509596670389,1.4872752,12.793371
1129149723913123456,126.842355017294,37.94706380219152,190.32514271529305,5.254166557993327,1.284949,9.551337
1138963758544545280,134.55805202076883,30.404519114713587,66.71536126267922,14.989051712733557,1.3124559,13.193779
1148885991992198016,130.18932190018157,28.77663976120178,76.3854067571206,13.091505857652326,1.0264766,11.735672
1165479168642900992,15.35641261567903,48.55505646463293,116.04245757212003,8.617535520380574,1.4578861,13.07033
1208695640675619584,25.64668778192645,53.59995561572676,89.12839436515914,11.219769043555287,1.4869673,12.195167
1332966881549315456,64.75987222048025,43.21187930492105,88.8226975511887,11.258383584034902,1.1958187,12.927332
1350714133093019904,73.57996119925444,28.227005016151697,71.49516298997698,13.98696021072351,1.1434925,10.570074
1355264565043431040,68.84329255751692,36.282711684328326,131.59960903219002,7.598806769672046,23.181572,10.453175
1379500928055726848,62.37580245426872,48.29416210715028,69.63745120606852,14.360089042329216,1.1453565,12.854803
1391241478857408768,69.96160545542403,52.41218673143628,79.85415424681045,12.522830019703605,1.2323163,11.018903
1412645602995521920,78.48029054871144,37.48185859357739,100.92736593436285,9.90811551200435,1.2994939,11.981026
1428427236986209024,83.20992020341015,42.78362757685406,154.35026839246862,6.478770723334836,1.0494165,9.139769
1431176943768690816,86.57378595668925,40.91624613212304,67.28757860500104,14.861583976298363,1.4242457,11.490692
1439069444391326208,90.75752854581037,32.58906954241512,69.89209281722201,14.307770159567914,1.1368835,9.174616
1461125613285603840,58.86813497738895,85.58941297697856,77.89556062742207,12.8377020711494,1.351123,12.576009
1554433777791815808,114.08872147815389,69.05247124830939,82.03930970465137,12.189278573894475,1.390445,12.802547
1637645127018395776,98.59590866887073,31.96614548794264,219.78977211974913,4.549802251285675,1.2150519,8.02864
1642641410934267008,99.90196270767545,39.47193065196246,92.87660493860945,10.766974101400352,1.0239073,7.9017744
1642642957122493824,99.9199014514878,39.460550625185654,92.89848935019698,10.764437688866247,1.2590058,9.618664
1648484868558988544,99.20290010239086,37.240885742176665,69.82066562861976,14.3224071411616,9.794354,13.551671
