source_id,l,b,parallax,dist_pc,ruwe,phot_g_mean_mag,distance_gspphot
385334196532776576,116.7002219349396,-18.444110953249837,280.6947310460246,3.5625891382907127,1.1803766,9.686646,3.5638
703790044252850688,197.01600350396538,32.415292950069265,279.2496391012477,3.5810252189347667,1.1545533,12.167455,--
778947608243864320,168.51745433515103,63.061053342908586,203.83234385738783,4.905992744211656,1.0334092,12.257253,--
1129149723913123456,126.842355017294,37.94706380219152,190.32514271529305,5.254166557993327,1.284949,9.551337,5.2528
1637645127018395776,98.59590866887073,31.96614548794264,219.78977211974913,4.549802251285675,1.2150519,8.02864,4.549
2079073928612821760,78.85872507841353,8.505696390567548,214.5745030256979,4.660385954058287,1.6106331,11.908311,--
2358524597030794112,149.72409200140982,-78.75488336509207,269.05730465038937,3.71668036033956,1.0011495,10.436525,--
3187115498866675456,206.43156845476716,-27.474529957956214,186.04662779359126,5.374996643902874,1.1008298,10.649305,--
4472832130942575872,31.049417957939717,14.08660366802383,546.975939730948,1.828233981355542,1.0848505,8.1939745,1.8275
4848140361962951552,251.87112947999512,-52.90127171530708,272.16154083178225,3.6742884279086314,1.1922306,10.995456,--
