gaiadr3.hipparcos2_best_neighbour.original_ext_source_id,gaiadr3.hipparcos2_best_neighbour.SOURCE_ID
6,2740326852975975040
7,2846308881856186240
10,4976500987226833024
18,2447815287783063040
24,2339755869120492800
26,2420820593694180992
27,2305871596516150656
38,4635422588982399616
47,4922510057156118400
50,4972326695628963584
54,2773776608032665856
55,4707740973434034048
65,4923860051276772608
74,2877050883371424768
81,2444686180769411840
84,2854774262396590080
93,2546019543207725440
94,2313534814604497024
95,2421627154192307200
98,4972346933514848896
101,4989996981357824640
111,2875223323248241920
129,2744993592641271808
135,2546012258943198592
140,4706617135111506560
142,432340826884417792
152,2333324859969785856
153,2766948400305302144
166,4922535620801444480
179,2420857530412523008
184,2765462891378117504
187,2442860476071386112
188,2745212189296914944
191,4991143187869550208
206,2774123675750055680
219,2745190748818657536
228,2854868408079958272
246,421052828201143296
249,2873571753703279360
293,4919439052460729600
307,4995677436382924672
310,4994882553900479488
321,2334756149230925568
324,2773026294425720704
332,2312777976943277440
342,2341514847206880640
348,2766324461816979968
350,4919444962335220224
351,4990101400602203904
392,2861244987109054336
400,2848150288954631296
403,2414120822669117056
404,386648181647057152
407,4702964901081513600
409,4702898930383794432
413,2309350627400757632
416,2546219654323556608
420,4973139402225747072
428,386655019234959872
429,2739080522186283392
436,4706630501049679744
449,2313243654477201024
459,4905600633472735488
460,2847267071879585920
462,2428706669045383808
481,2309235384838246784
486,4972304293079423232
488,4706349163511711360
489,2739200884349186688
493,2797111130991722240
495,2773086595766697856
509,2319727783783881472
517,4922835134640881152
524,2421483049449558272
532,4688350634905180800
535,4994705261945549312
538,2742486770552684032
539,384763790515986048
554,2417795424888872320
565,2738814302932742272
569,2445252081364244096
577,2874097526419781632
599,4995839373830037248
601,2798809739017680640
604,2738790629073019520
606,2336290689505289472
616,2336728947968831104
618,4905682817671391616
624,4991335327526667264
630,2880880929047978880
643,4995774399564774912
649,2441673072233002496
665,4994661728157709952
676,2847012122620903296
687,2772804845911842944
690,4707717437013148928
693,2798709374221931264
713,4905880115584448128
722,2767746680107135360
726,4996584567835662848
733,2753082287370001536
738,2333676738050041728
748,2798823689071539456
753,2874015784602375168
758,4995813638385971456
762,4996271374524935808
772,2310131211936957184
777,2364480827612550528
791,4996279315920041472
801,4973621989046219008
808,384697403204557568
819,4635412796456855424
822,573455443427445888
823,2880791834246679552
827,2321487139827777664
833,2364911286414518016
845,4994677945953515392
846,2417943687160001536
854,2767908686273392768
856,2769238717385949952
867,2767585258056231040
875,2306591437330428288
883,4919278244588593664
889,393135261599786880
894,395918267265196672
