source_id,l,b,dist_pc,distance_gspphot,parallax,ra,dec,phot_g_mean_mag
891588245184031360,182.66077789391016,18.258905323248165,706.6408022684371,631.6539,1.4151461347686547,107.08236879808194,34.67444440520118,13.5770645
898844639674672640,181.28542174034737,22.2937750070354,32.57043171319655,32.5012,30.70269405102268,111.25581307204982,37.23112383360879,9.197407
921950434150992384,178.04479105114666,31.19887253998926,804.6606599803033,759.5275,1.2427598983458172,121.59188610993137,42.19246935879696,13.668103
926128956293233408,175.46686219595395,29.179239654644853,142.38217474368358,140.8652,7.023351074670689,118.32532090483042,44.025014928307,11.7592325
938247910895459968,181.61261907870647,11.111999409829565,621.4421436352469,596.1569,1.609160257703646,98.69373322744504,32.808266520560245,13.92189
940886154685809536,179.57291327652646,17.645310103057838,77.24612715050259,--,12.945632834791171,105.07804777829314,37.19890212659162,11.093643
941390207750704384,180.31062708761021,11.368467894147146,529.4691373254773,519.4589,1.8886842112296267,98.32004114095616,34.07290722025781,12.611253
951955041321262592,174.4698890351035,18.508661227025932,110.15985069312397,109.695,9.077717459746145,103.90686266109245,42.042918541553796,9.296333
967942455785468800,165.6185740630148,17.830156861865895,435.79141718271086,427.8832,2.2946757567295957,98.73244089930361,49.67657403922006,12.676626
975680956060048768,171.20835187019154,26.85302562806006,496.9650057696772,479.5331,2.012214116467305,114.0108081501137,47.25812899776885,13.481425
978086481343568128,168.98904361273583,23.093922776144495,35.647388121578416,--,28.052546138567454,107.86580653013142,48.32785355721301,11.393926
996225841925467264,160.00817669825696,17.14049850891797,527.5524053835422,460.1064,1.8955462808912378,94.43257945882632,54.38130427956773,11.705647
996878131494639488,158.55829109142329,15.592045731613476,178.632842828631,172.1096,5.598074711039204,91.0036400623643,55.01997327227106,14.113892
1002774052143638784,156.38876462390337,25.276311143417466,312.2210026347188,297.841,3.202859485945423,106.99041310079878,60.01160977446485,11.604341
1003071543055563008,155.35877935156353,24.897487583526807,1511.488416400971,--,0.6615995128703109,105.86840874742242,60.852550800338484,13.303521
1036060018624478464,161.25041271134566,40.18937150907742,236.5425099725743,184.2392,4.227569920163374,135.2974600859632,55.85994018402379,8.164732
1057653808518093056,134.71767599700192,48.449525196438536,100.99270948961353,100.7879,9.90170483645499,172.74778165204094,66.7965274131251,10.241993
1072691725972110336,135.59875478705774,44.44879445291933,55.93845823863792,56.2717,17.876788733324045,165.73925529920663,69.91612511020935,12.38398
